handle,layer,dxftype,shape_class,n_vertices,is_convex,convex_fill,area_in2,perim_in,circularity,bbox_w_in,bbox_h_in,mrr_w_in,mrr_h_in,current_label,proposed_label,changed,anomalies
17DE,COLS,LWPOLYLINE,rect,4,True,1.0,784.0,112.0,0.7854,28.0,28.0,28.0,28.0,28x28,28x28,False,
17DF,COLS,LWPOLYLINE,rect,4,True,1.0,648.0,108.0,0.6981,18.0,36.0,18.0,36.0,18x36,18x36,False,
17E0,COLS,LWPOLYLINE,rect,4,True,1.0,648.0,108.0,0.6981,18.0,36.0,18.0,36.0,18x36,18x36,False,
17E1,COLS,LWPOLYLINE,rect,4,True,1.0,648.0,108.0,0.6981,18.0,36.0,18.0,36.0,18x36,18x36,False,
17E2,COLS,LWPOLYLINE,rect,4,True,1.0,630.0,102.0,0.7609,30.0,21.0,21.0,30.0,21x30,21x30,False,
17E3,COLS,LWPOLYLINE,rect,4,True,1.0,624.0,100.0,0.7841,24.0,26.0,24.0,26.0,24x26,24x26,False,
17E4,COLS,LWPOLYLINE,rect,4,True,1.0,784.0,112.0,0.7854,28.0,28.0,28.0,28.0,28x28,28x28,False,
17E5,COLS,LWPOLYLINE,rect,4,True,1.0,336.0,76.0,0.731,24.0,14.0,14.0,24.0,14x24,14x24,False,
17E6,COLS,LWPOLYLINE,rect,4,True,1.0,336.0,76.0,0.731,24.0,14.0,14.0,24.0,14x24,14x24,False,
17E7,COLS,LWPOLYLINE,rect,4,True,1.0,720.0,108.0,0.7757,24.0,30.0,24.0,30.0,24x30,24x30,False,
17E8,COLS,LWPOLYLINE,rect,4,True,1.0,784.0,112.0,0.7854,28.0,28.0,28.0,28.0,28x28,28x28,False,
